,Unnamed: 0,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,0,Female,No,32,Yes,Healthcare,9.0,Low,3.0,Cat_6,D
3,3,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D
7,7,Female,No,36,Yes,Artist,6.0,Low,1.0,Cat_6,C
9,9,Male,Yes,55,Yes,Executive,9.0,High,4.0,Cat_6,C
10,10,Male,Yes,42,Yes,Doctor,8.0,Average,2.0,Cat_2,B
12,12,Female,No,42,No,Entertainment,10.0,Low,4.0,Cat_6,D
17,17,Male,Yes,74,No,Lawyer,8.0,Low,1.0,Cat_6,A
25,25,Female,Yes,36,Yes,Doctor,13.0,Low,2.0,Cat_6,B
31,31,Male,Yes,55,Yes,Entertainment,2.0,Average,2.0,Cat_6,C
32,32,Male,Yes,38,No,Executive,12.0,High,7.0,Cat_6,A
36,36,Male,No,51,No,Marketing,9.0,Low,1.0,Cat_6,A
37,37,Female,No,43,Yes,Artist,14.0,Low,1.0,Cat_4,D
38,38,Female,No,42,Yes,Artist,8.0,Low,2.0,Cat_6,B
39,39,Female,No,60,Yes,Artist,6.0,Low,1.0,Cat_6,B
42,42,Female,Yes,41,Yes,Homemaker,9.0,Low,1.0,Cat_6,A
55,55,Male,Yes,36,Yes,Artist,4.0,Average,2.0,Cat_7,B
58,58,Female,No,37,Yes,Artist,8.0,Low,2.0,Cat_6,C
61,61,Male,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6,D
73,73,Female,No,33,No,Homemaker,8.0,Low,2.0,Cat_6,D
79,79,Male,Yes,38,Yes,Artist,4.0,Average,3.0,Cat_6,C
80,80,Male,Yes,37,Yes,Entertainment,9.0,Average,2.0,Cat_6,A
83,83,Female,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,C
85,85,Female,Yes,48,Yes,Homemaker,12.0,Low,1.0,Cat_6,A
88,88,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
103,103,Female,Yes,52,No,Doctor,3.0,Average,2.0,Cat_6,A
107,107,Male,Yes,48,Yes,Doctor,3.0,Average,2.0,Cat_6,D
109,109,Female,No,33,Yes,Artist,7.0,Low,7.0,Cat_4,A
112,112,Male,Yes,61,Yes,Executive,5.0,High,2.0,Cat_6,B
115,115,Female,Yes,41,Yes,Artist,5.0,High,3.0,Cat_5,B
120,120,Female,Yes,63,No,Engineer,4.0,Average,8.0,Cat_4,D
127,127,Male,Yes,37,Yes,Entertainment,3.0,Low,1.0,Cat_6,A
128,128,Male,Yes,57,No,Executive,4.0,High,4.0,Cat_6,C
132,132,Male,No,35,Yes,Artist,13.0,Low,1.0,Cat_6,B
135,135,Male,No,40,Yes,Artist,5.0,Low,2.0,Cat_6,A
140,140,Male,Yes,37,No,Doctor,9.0,Low,2.0,Cat_6,D
149,149,Female,Yes,50,Yes,Executive,4.0,High,3.0,Cat_6,B
153,153,Female,Yes,45,Yes,Artist,8.0,High,3.0,Cat_6,B
